id,device,version,description,port
1542,phpRPC Library ,0.7, XML Data Decoding Remote Code Execution (1),80
1543,vuBB ,0.2 Final , 'cookie' SQL Injection,80
1544,Woltlab Burning Board ,2.x , Datenbank MOD 'fileid' SQL Injection,80
1546,phpRPC Library ,0.7, XML Data Decoding Remote Code Execution (2),80
1547,Aztek Forum ,4, Cross,80
1548,MyBulletinBoard (MyBB) ,1.04, 'misc.php' SQL Injection (2),80
1549,MyBulletinBoard (MyBB) ,1.04,Stats 0.1.9.1 ,80
1553,Fantastic News ,2.1.2 , 'script_path' Remote Code Execution,80
1556,D,2,Shoutbox 4.2 IPB Mod ,80
1561,OWL Intranet Engine ,0.82, 'xrms_file_root' Code Execution,80
1563,Limbo CMS ,1.0.4.2 , 'itemID' Remote Code Execution (Metasploit),80
1566,Gallery ,2.0.3 , 'stepOrder[]' Remote Command Execution,80
1567,RedBLoG ,0.5, 'cat_id' SQL Injection,80
1570,Light Weight Calendar ,1.x , 'date' Remote Code Execution,80
1573,Guppy ,4.5.11 , Delete Databases Remote Denial of Service,80
1575,Guestbook Script ,1.7, 'include_files' Remote Code Execution,80
1576,Jupiter CMS ,1.1.5 , Multiple Cross,80
1581,Simple PHP Blog ,0.4.7.1 , Remote Command Execution,80
1585,PHP iCalendar ,2.21, 'cookie' Remote Code Execution,80
1586,PHP iCalendar ,2.21, 'publish.ical.php' Remote Code Execution,80
1587,KnowledgebasePublisher ,1.2, 'Include' Remote Code Execution,80
1588,nodez ,4.6.1.1 mercury , Multiple Vulnerabilities,80
1590,ShoutLIVE ,1.1.0 , 'savesettings.php' Remote Code Execution,80
1594,SoftBB ,0.1, 'mail' Blind SQL Injection,80
1595,gCards ,1.45, Multiple Vulnerabilities,80
1600,FreeWPS ,2.11, 'images.php' Remote Code Execution,80
1605,XHP CMS ,0.5, 'upload' Remote Command Execution,80
1608,WebAlbum ,2.02pl , COOKIE[skin2] Remote Code Execution,80
1609,PHP Ticket ,0.71, 'search.php' SQL Injection,80
1610,phpBookingCalendar ,1.0c , 'details_view.php' SQL Injection,80
1611,TFT Gallery ,0.1, Password Disclosure,80
1612,CuteNews ,1.4.1 , 'function.php' Local File Inclusion,80
1616,Aztek Forum ,4, 'myadmin.php' User Privilege Escalation,80
1617,PHPCollab ,2.x / NetOffice 2.x , 'sendpassword.php' SQL Injection,80
1618,GreyMatter WebLog ,1.21d , Remote Command Execution (1),80
1619,GreyMatter WebLog ,1.21d , Remote Command Execution (2),80
1621,Plogger Beta ,2.1, Administrative Credentials Disclosure,80
1627,Claroline ,1.7.4 , 'scormExport.inc.php' Remote Code Execution,80
1629,SQuery ,4.5, 'libpath' Remote File Inclusion,80
1630,SQuery ,4.5,Clan 3.0.1 ,80
1631,ReloadCMS ,1.2.5 , Cross,80
1632,VWar ,1.5.0 R12 , Remote File Inclusion,80
1640,AngelineCMS ,0.8.1 , 'installpath' Remote File Inclusion,80
1644,INDEXU ,5.0.1 , 'base_path' Remote File Inclusion,80
1645,Crafty Syntax Image Gallery ,3.1g , Remote Code Execution,80
1646,phpMyChat ,0.14.5 , SYS enter Remote Code Execution,80
1647,phpMyChat ,0.15.0dev , SYS enter Remote Code Execution,80
1650,Horde Help Viewer ,3.1, Remote Command Execution,80
1651,ADODB < ,4.7, 'tmssql.php' Denial of Service,80
1652,ADODB < ,4.70 (PHPOpenChat 3.0.x) , 'Server.php' SQL Injection,80
1653,dnGuestbook ,2, SQL Injection,80
1654,autonomous lan party ,0.98.1.0 , Remote File Inclusion,80
1655,XBrite Members ,1.1, 'id' SQL Injection,80
1656,Sire ,2, '/lire.php' Remote File Inclusion / Arbitrary File Upload,80
1659,phpList ,2.10.2 , 'GLOBALS[]' Remote Code Execution,80
1660,Horde ,3.0.9/3.1.0 , Help Viewer Remote Code Execution (Metasploit),80
1661,phpBB ,2.0.19 , 'user_sig_bbcode_uid' Remote Code Execution,80
1662,Clansys ,1.1 (showid) , SQL Injection,80
1663,Simplog ,0.9.2 , 's' Remote Command Execution,80
1665,Sphider ,1.3, 'configset.php' Remote File Inclusion,80
1666,PHP,121 Instant Messenger 1.4 , Remote Code Execution,80
1668,vBulletin ImpEx ,1.74, Remote Command Execution,80
1672,PAJAX ,0.5.1 , Remote Code Execution,80
1673,phpWebSite ,0.10.2 , 'hub_dir' Remote Command Execution,80
1674,osCommerce ,2.2, 'extras' Source Code Disclosure,80
1678,PHP Album ,0.3.2.3 , Remote Command Execution,80
1682,Fuju News ,1, Authentication Bypass / SQL Injection,80
1683,Blackorpheus ClanMemberSkript ,1, SQL Injection,80
1686,FlexBB ,0.5.5 , '/inc/start.php?_COOKIE' SQL Bypass,80
1687,MyEvent ,1.3, 'event.php' Remote File Inclusion,80
1694,Internet PhotoShow ,1.3, 'page' Remote File Inclusion,80
1695,PHP Net Tools ,2.7.1 , Remote Code Execution,80
1697,PCPIN Chat ,5.0.4 , 'login/language' Remote Code Execution,80
1698,Joomla! ,1.0.7 / Mambo 4.5.3 , 'feed' Full Path Disclosure / Denial of Service,80
1699,RechnungsZentrale V,2 < 1.1.3 , Remote File Inclusion,80
1701,PHPSurveyor ,0.995, 'surveyid' Remote Command Execution,80
1704,CoreNews ,2.0.1 , 'userid' SQL Injection,80
1705,Simplog ,0.9.3 , 'tid' SQL Injection,80
1706,dForum ,1.5, 'DFORUM_PATH' Multiple Remote File Inclusions,80
1707,My Gaming Ladder Combo System ,7, Remote Code Execution,80
1710,Clansys ,1.1, 'index.php' PHP Code Insertion,80
1711,Built,2Go PHP Movie Review 2B , Remote File Inclusion,80
1713,FlexBB ,0.5.5 , '/function/showprofile.php' SQL Injection,80
1720,Invision Power Board ,2.1.5 , 'lastdate' Remote Code Execution,80
1722,TopList ,1.3.8 , 'phpBB Hack' Remote File Inclusion (1),80
1723,Advanced Guestbook ,2.4.0 , 'phpBB' File Inclusion,80
1724,TopList ,1.3.8 , 'phpBB Hack' Remote File Inclusion (2),80
1725,Advanced Guestbook ,2.4.0 , 'phpBB' Remote File Inclusion,80
1726,Invision Power Board ,2.1.5 , 'search.php' Remote Code Execution,80
1727,openPHPNuke ,2.3.3 , Remote File Inclusion,80
1728,Knowledge Base Mod ,2.0.2 , 'phpBB' Remote File Inclusion,80
1729,Limbo CMS ,1.0.4.2 , 'sql.php' Remote File Inclusion,80
1730,Aardvark Topsites PHP ,4.2.2 , 'path' Remote File Inclusion,80
1731,phpMyAgenda ,3.0 Final , 'rootagenda' Remote File Inclusion,80
1732,Aardvark Topsites PHP ,4.2.2 , 'lostpw.php' Remote File Inclusion,80
1733,Invision Power Board ,2.1.5 , 'from_contact' SQL Injection,80
1738,X,7 Chat 2.0 , 'help_file' Remote Command Execution,80
1740,Fast Click ,1.1.3/2.3.8 , 'show.php' Remote File Inclusion,80
1744,Albinator ,2.0.6 , 'Config_rootdir' Remote File Inclusion,80
1747,Auction ,1.3m , 'phpbb_root_path' Remote File Inclusion,80
1751,Limbo CMS ,1.0.4.2 , 'catid' SQL Injection,80
1752,StatIt ,4, 'statitpath' Remote File Inclusion,80
1753,TotalCalendar ,2.3, 'inc' Remote File Inclusion,80
1756,HiveMail ,1.3, 'addressbook.add.php' Remote Code Execution,80
1760,HiveMail ,1.3,Fusion 6.00.306 ,80
1761,Jetbox CMS ,2.1, 'relative_script_path' Remote File Inclusion,80
1763,ACal ,2.2.6 , 'day.php' Remote File Inclusion,80
1764,EQdkp ,1.3.0 , 'dbal.php' Remote File Inclusion,80
1765,Dokeos Lms ,1.6.4 , 'authldap.php' Remote File Inclusion,80
1766,Dokeos Lms ,1.6.4 ,Learning 1.75 ,80
1767,ActualAnalyzer Server ,8.23, 'rf' Remote File Inclusion,80
1768,ActualAnalyzer Pro ,6.88, 'rf' Remote File Inclusion,80
1769,phpListPro ,2.01, Multiple Remote File Inclusions,80
1773,phpRaid ,3.0.b3 , 'phpBB'/'SMF' Remote File Inclusion,80
1774,pafileDB ,2.0.1 , 'mxBB'/'phpBB' Remote File Inclusion,80
1777,Unclassified NewsBoard ,1.6.1 patch 1 , Local File Inclusion,80
1778,Foing ,0.7.0 , 'phpBB' Remote File Inclusion,80
1779,PHP Blue Dragon CMS ,2.9, Remote File Inclusion,80
1780,phpBB ,2.0.20 , Admin/Restore DB/default_lang Remote Command Execution,80
1785,Sugar Suite Open Source ,4.2, 'OptimisticLock' Command Execution,80
1789,TR Newsportal ,0.36tr1 , 'poll.php' Remote File Inclusion,80
1790,Squirrelcart ,2.2.0 , 'cart_content.php' Remote File Inclusion,80
1793,DeluxeBB ,1.06, 'name' SQL Injection (mq=off),80
1795,ezusermanager ,1.6, Remote File Inclusion,80
1796,ezusermanager ,1.6,Fusion 6.00.306 ,80
1797,DeluxeBB ,1.06, 'Attachment mod_mime' Remote Command Execution,80
1798,Quezza BB ,1, 'quezza_root_path' File Inclusion,80
1800,ScozNews ,1.2.1 , 'mainpath' Remote File Inclusion,80
1804,phpBazar ,2.1.0 , Remote File Inclusion / Authentication Bypass,80
1805,phpListPro ,2.0.1 , 'Language' Remote Code Execution,80
1808,phpMyDirectory ,10.4.4 , 'ROOT_PATH' Remote File Inclusion,80
1809,CaLogic Calendars ,1.2.2 , 'CLPath' Remote File Inclusion,80
1810,Woltlab Burning Board ,2.3.5 , 'links.php' SQL Injection,80
1811,XOOPS ,2.0.13.2 , 'xoopsOption[nocommon]' Remote Command Execution,80
1812,Fusion News ,1.0 (fil_config) , Remote File Inclusion,80
1814,UBBCentral UBB.Threads ,6.4.x < 6.5.2 , 'thispath' Remote File Inclusion,80
1816,Nucleus CMS ,3.22, 'DIR_LIBS' Remote File Inclusion,80
1817,Docebo ,3.0.3 , Multiple Remote File Inclusions,80
1818,phpCommunityCalendar ,4.0.3 , Cross,80
1821,Drupal ,4.7, 'Attachment mod_mime' Remote Command Execution,80
1823,BASE ,1.2.4 , melissa Snort Frontend Remote File Inclusion,80
1824,BASE ,1.2.4 ,medium.CMS 0.25 ,80
1825,BASE ,1.2.4 ,End CMS 0.7.2.2 ,80
1826,Socketmail ,2.2.6 , 'site_path' Remote File Inclusion,80
1827,Socketmail ,2.2.6 ,Webmail 1.6.4 ,80
1828,DoceboLms ,2.0.5 , 'help.php' Remote File Inclusion,80
1829,APC ActionApps CMS ,2.8.1 , Remote File Inclusion,80
1832,Plume CMS ,1.0.3 , 'manager_path' Remote File Inclusion,80
1835,Hot Open Tickets ,11012004, 'CLASS_PATH' Remote File Inclusion,80
1839,tinyBB ,0.3, Remote File Inclusion / SQL Injection,80
1841,F@cile Interactive Web ,0.8x , Remote File Inclusion / Cross,80
1842,EggBlog < ,3.07, Remote SQL Injection / Privilege Escalation,80
1843,UBBCentral UBB.Threads ,5.x/6.x , Multiple Remote File Inclusions,80
1844,Activity MOD Plus ,1.1.0 , 'phpBB Mod' File Inclusion,80
1846,Blend Portal ,1.2.0 , 'phpBB Mod' Remote File Inclusion,80
1847,Blend Portal ,1.2.0 , 'search.php' SQL Injection,80
1848,Fastpublish CMS ,1.6.9 , config[fsBase] Remote File Inclusion,80
1851,gnopaste ,0.5.3 , 'common.php' Remote File Inclusion,80
1853,pppBlog ,0.3.8 , System Disclosure,80
1854,Ottoman CMS ,1.1.3 , '?default_path=' Remote File Inclusion (1),80
1855,metajour ,2.1, 'system_path' Remote File Inclusion,80
1857,TinyPHP Forum ,3.6, 'profile.php' Remote Code Execution,80
1858,AssoCIateD CMS ,1.1.3 , 'ROOT_PATH' Remote File Inclusion,80
1860,Bytehoard ,2.1, 'server.php' Remote File Inclusion,80
1861,Redaxo ,3.2, 'INCLUDE_PATH' Remote File Inclusion,80
1863,Igloo ,0.1.9 , 'Wiki.php' Remote File Inclusion,80
1864,ashNews ,0.83, 'pathtoashnews' Remote File Inclusion,80
1865,Informium ,0.12.0 , 'common,80
1866,Informium ,0.12.0 ,Nuke 7.9 Final ,80
1868,PixelPost ,1,5rc1,80
1869,DotClear ,1.2.4 , 'prepend.php' Remote File Inclusion,80
1870,BlueShoes Framework ,4.6, Remote File Inclusion,80
1871,WebspotBlogging ,3.0.1 , 'path' Remote File Inclusion,80
1872,WebspotBlogging ,3.0.1 ,Cart 1.3.3 ,80
1874,LifeType ,1.0.4 , SQL Injection,80
1875,FunkBoard CF,0.71, 'profile.php' Remote User Pass Change,80
1876,SCart ,2, 'page' Remote Code Execution,80
1877,Claroline ,1.7.6 , 'includePath' Remote Code Execution,80
1878,Particle Wiki ,1.0.2 , SQL Injection,80
1879,dotWidget CMS ,1.0.6 , 'file_path' Remote File Inclusion,80
1881,DreamAccount ,3.1, 'da_path' Remote File Inclusion,80
1882,Dmx Forum ,2.1a , 'edit.php' Remote Password Disclosure,80
1883,Wikiwig ,4.1, 'wk_lang.php' Remote File Inclusion,80
1886,OpenEMR ,2.8.1 , 'fileroot' Remote File Inclusion,80
1887,Xtreme/Ditto News ,1, 'post.php' Remote File Inclusion,80
1888,Xtreme/Ditto News ,1,End CMS 0.7.2.1 ,80
1890,Xtreme/Ditto News ,1,Bandits 2.5 ,80
1891,Enterprise Payroll Systems ,1.1, 'footer' Remote File Inclusion,80
1892,Guestex Guestbook ,1, 'email' Remote Code Execution,80
1895,empris r,20020923, 'phormationdir' Remote File Inclusion,80
1896,aePartner ,0.8.3 , 'dir[data]' Remote File Inclusion,80
