,device,version
276,Sire ,2
277,phpList ,2.10.2
278,Horde ,3.0.9/3.1.0
279,phpBB ,2.0.19
280,Clansys ,1.1(showid)
281,Simplog ,0.9.2
282,Sphider ,1.3
283,PHP,121InstantMessenger1.4
284,vBulletin ImpEx ,1.74
285,PAJAX ,0.5.1
286,phpWebSite ,0.10.2
287,osCommerce ,2.2
288,PHP Album ,0.3.2.3
289,Fuju News ,1
290,Blackorpheus ClanMemberSkript ,1
291,FlexBB ,0.5.5
292,MyEvent ,1.3
293,Internet PhotoShow ,1.3
294,PHP Net Tools ,2.7.1
295,PCPIN Chat ,5.0.4
296,Joomla! ,1.0.7/Mambo4.5.3
297,RechnungsZentrale V,2<1.1.3
298,PHPSurveyor ,0.995
299,CoreNews ,2.0.1
300,Simplog ,0.9.3
301,dForum ,1.5
302,My Gaming Ladder Combo System ,7
303,Clansys ,1.1
304,Built,2GoPHPMovieReview2B
305,FlexBB ,0.5.5
306,Invision Power Board ,2.1.5
307,TopList ,1.3.8
308,Advanced Guestbook ,2.4.0
309,TopList ,1.3.8
310,Advanced Guestbook ,2.4.0
311,Invision Power Board ,2.1.5
312,openPHPNuke ,2.3.3
313,Knowledge Base Mod ,2.0.2
314,Limbo CMS ,1.0.4.2
315,Aardvark Topsites PHP ,4.2.2
316,phpMyAgenda ,3.0Final
317,Aardvark Topsites PHP ,4.2.2
318,Invision Power Board ,2.1.5
319,X,7Chat2.0
320,Fast Click ,1.1.3/2.3.8
321,Albinator ,2.0.6
322,Auction ,1.3m
323,Limbo CMS ,1.0.4.2
324,StatIt ,4
325,TotalCalendar ,2.3
326,HiveMail ,1.3
327,HiveMail ,1.3
328,Jetbox CMS ,2.1
329,ACal ,2.2.6
330,EQdkp ,1.3.0
331,Dokeos Lms ,1.6.4
332,Dokeos Lms ,1.6.4
333,ActualAnalyzer Server ,8.23
334,ActualAnalyzer Pro ,6.88
335,phpListPro ,2.01
336,phpRaid ,3.0.b3
337,pafileDB ,2.0.1
338,Unclassified NewsBoard ,1.6.1patch1
339,Foing ,0.7.0
340,PHP Blue Dragon CMS ,2.9
341,phpBB ,2.0.20
342,Sugar Suite Open Source ,4.2
343,TR Newsportal ,0.36tr1
344,Squirrelcart ,2.2.0
345,DeluxeBB ,1.06
346,ezusermanager ,1.6
347,ezusermanager ,1.6
348,DeluxeBB ,1.06
349,Quezza BB ,1
350,ScozNews ,1.2.1
351,phpBazar ,2.1.0
352,phpListPro ,2.0.1
353,phpMyDirectory ,10.4.4
354,CaLogic Calendars ,1.2.2
355,Woltlab Burning Board ,2.3.5
356,XOOPS ,2.0.13.2
357,Fusion News ,1.0(fil_config)
358,UBBCentral UBB.Threads ,6.4.x<6.5.2
359,Nucleus CMS ,3.22
360,Docebo ,3.0.3
361,phpCommunityCalendar ,4.0.3
362,Drupal ,4.7
363,BASE ,1.2.4
364,BASE ,1.2.4
365,BASE ,1.2.4
366,Socketmail ,2.2.6
367,Socketmail ,2.2.6
368,DoceboLms ,2.0.5
369,APC ActionApps CMS ,2.8.1
370,Plume CMS ,1.0.3
371,Hot Open Tickets ,11012004
372,tinyBB ,0.3
373,F@cile Interactive Web ,0.8x
374,EggBlog < ,3.07
375,UBBCentral UBB.Threads ,5.x/6.x
376,Activity MOD Plus ,1.1.0
377,Blend Portal ,1.2.0
378,Blend Portal ,1.2.0
379,Fastpublish CMS ,1.6.9
380,gnopaste ,0.5.3
381,pppBlog ,0.3.8
382,Ottoman CMS ,1.1.3
383,metajour ,2.1
384,TinyPHP Forum ,3.6
385,AssoCIateD CMS ,1.1.3
386,Bytehoard ,2.1
387,Redaxo ,3.2
388,Igloo ,0.1.9
389,ashNews ,0.83
390,Informium ,0.12.0
391,Informium ,0.12.0
392,PixelPost ,1
393,DotClear ,1.2.4
394,BlueShoes Framework ,4.6
395,WebspotBlogging ,3.0.1
396,WebspotBlogging ,3.0.1
397,LifeType ,1.0.4
398,FunkBoard CF,0.71
399,SCart ,2
400,Claroline ,1.7.6
401,Particle Wiki ,1.0.2
402,dotWidget CMS ,1.0.6
403,DreamAccount ,3.1
404,Dmx Forum ,2.1a
405,Wikiwig ,4.1
406,OpenEMR ,2.8.1
407,Xtreme/Ditto News ,1
408,Xtreme/Ditto News ,1
409,Xtreme/Ditto News ,1
410,Enterprise Payroll Systems ,1.1
411,Guestex Guestbook ,1
412,empris r,20020923
413,aePartner ,0.8.3
414,phpOnDirectory ,1
415,WebprojectDB ,0.1.3
416,free QBoard ,1.1
417,RCblog ,1.03
418,AWF CMS ,1.11
419,AWF CMS ,1.11
420,blur,6ex0.3.462
421,blur,6ex0.3.462
422,aWebNews ,1.5
423,Minerva ,2.0.8aBuild237
424,MyBulletinBoard (MyBB) < ,1.1.3
425,The Bible Portal Project ,2.12
426,PHP Blue Dragon CMS ,2.9.1
427,PHP Blue Dragon CMS ,2.9.1
428,DeluxeBB ,1.06
429,Bitweaver ,1.3
430,CMS Faethon ,1.3.2
431,Mambo ,4.6rc1
432,FlashBB ,1.1.8
433,Joomla! ,1.0.9
434,Ad Manager Pro ,2.6
435,Indexu ,5.0.1
436,PHP Live Helper ,1.x
437,IdeaBox ,1.1
438,Micro CMS ,0.3.5
439,Ultimate PHP Board ,1.96GOLD
440,BandSite CMS ,1.1.1
441,dotProject ,2.0.3
442,SmartSite CMS ,1
443,DataLife Engine ,4.1
444,DataLife Engine ,4.1
445,Mambo ,4.6rc1
446,ralf image Gallery ,0.7.4
447,Harpia CMS ,1.0.5
448,Harpia CMS ,1.0.5
449,Jaws ,0.6.2
450,phpMySms ,2
451,MyBulletinBoard (MyBB) ,1.1.3
452,MyBulletinBoard (MyBB) ,1.1.3
453,THoRCMS ,1.3.1
454,DeluxeBB ,1.07
455,DreamAccount ,3.1
456,Mambo Module CBSms ,1
457,Mambo Component Pearl ,1.6
458,Scout Portal Toolkit ,1.4.0
459,RsGallery,2<1.11.2
460,Blog:CMS ,4.0.0k
461,Blog:CMS ,4.0.0k
462,GeekLog ,1.4.0sr3
463,GeekLog ,1.4.0sr3
464,DZCP (deV!L_z Clanportal) ,1.34
465,Stud.IP ,1.3.0
466,Plume CMS ,1.1.3
467,Randshop ,1.1.1
468,SmartSite CMS ,1
469,BXCP ,0.3.0.4
470,Mambo Module galleria ,1.0b
471,Mambo Module galleria ,1.0b
472,MyPHP CMS ,0.3
473,Pivot ,1.30RC2
474,PAPOO ,3_RC3
475,Mambo Component SimpleBoard ,1.1.0
476,Mambo Component com_forum ,1.2.4RC3
477,Sabdrimer PRO ,2.2.4
478,Ottoman CMS ,1.1.3
479,EJ,3TOPo2.2
480,SQuery ,4.5
481,phpBB ,3
482,Phorum ,5
483,CzarNews ,1.14
484,Invision Power Board ,2.1<2.1.6
485,MyBulletinBoard (MyBB) ,1.1.5
486,FlushCMS ,1.0.0
487,mail,2forumphpBBMod1.2
488,Mambo Component com_videodb ,0.3en
489,Mambo Component SMF Forum ,1.3.1.3
490,Mambo Component ExtCalendar ,2
491,Mambo Component com_loudmouth ,4.0j
492,Mambo Component pc_cookbook ,0.3
493,Mambo Component perForms ,1
494,Mambo Component com_hashcash ,1.2.1
495,Mambo Module HTMLArea,31.5
496,Mambo Component Sitemap ,2.0.0
497,Mambo Component pollxt ,1.22.07
498,Mambo Component MiniBB ,1.5a
499,Eskolar CMS ,0.9.0.0
500,Invision Power Board ,2.1<2.1.6
501,ToendaCMS ,1.0.0
502,ToendaCMS ,1.0.0
503,iManage CMS ,4.0.12
504,SiteDepth CMS ,3.0.1
505,LoudBlog ,0.5
506,PHP Forge ,3Beta2
507,PHP Live! ,3.2.1
508,Mambo Component MoSpray ,18RC1
509,ArticlesOne ,7232006
510,ArticlesOne ,7232006
511,Mambo Component multibanners ,1.0.1
512,X,7Chat2.0.4
513,Mambo Component PrinceClan Chess ,0.8
514,Etomite CMS ,0.6.1
515,Etomite CMS ,0.6.1
516,WMNews ,0.2a
517,Mambo Component 'com_a,6mambohelpdesk'18RC1
518,Portail PHP ,1.7
519,Mambo Component Security Images ,3.0.5
520,Mambo Component MGM ,0.95r2
521,Mambo Component 'com_colophon' ,1.2
522,Mambo Component mambatStaff ,3.1b
523,vbPortal ,3.0.2<3.6.0b1
524,ATutor ,1.5.3.1
525,Mambo Component User Home Pages ,0.5
526,Joomla! Component com_bayesiannaivefilter ,1.1
527,Joomla! Component LMO ,1.0b2
528,PhpReactor ,1.2.7pl1
529,MyNewsGroups ,0.6b
530,NewsLetter ,3.5
531,TSEP ,0.942
532,WoW Roster ,1.5.1
533,phpAuction ,2.1
534,newsReporter ,1.1
535,Voodoo chat ,1.0RC1b
536,k_shoutbox ,4.4
537,k_fileManager ,1.2
538,XMB ,1.9.6
539,WoW Roster ,1.7
540,TWiki ,4.0.4
541,SaveWeb Portal ,3.4
542,TinyPHP Forum ,3.6
543,Kayako eSupport ,2.3.1
544,TSEP ,0.942
545,SendCard ,3.4.0
546,MyBloggie ,2.1.4
547,PHP Simple Shop ,2
548,PHP Live Helper ,2
549,Torbstoff News ,4
550,ME Download System ,1.3
551,SQLiteWebAdmin ,0.1
552,SQLiteWebAdmin ,0.1
553,ModernBill ,1.6
554,SAPID ,1.2.3.05
555,SAPID Blog Beta ,2
556,SAPID Gallery ,1
557,SAPID Shop ,1.2
558,phpAutoMembersArea ,3.2.5
559,phpAutoMembersArea ,3.2.5
560,phpCC ,4.2Beta
561,NEWSolved Lite ,1.9.2
562,NEWSolved Lite ,1.9.2
563,PHPCodeCabinet ,0.5
564,Visual Events Calendar ,1.1
565,ZoneX ,1.0.3
566,TWiki ,4.0.4
567,docpile:we ,0.2.2
568,phNNTP ,1.3
569,Hitweb ,4.2.1
570,Cwfm ,0.9.1
571,PHP ,4.4.3/5.1.4
572,Boite de News ,4.0.1
573,PgMarket ,2.2.3
574,PgMarket ,2.2.3
575,PgMarket ,2.2.3
576,TinyWebGallery ,1.5
577,PHPMyRing ,4.2.0
578,SAPID CMS ,1.2.3_rc3
579,PHPWCMS ,1.1
580,Spaminator ,1.7
581,Thatware ,0.4.6
582,SaveWebPortal ,3.4
583,phpPrintAnalyzer ,1.2
584,Chaussette ,80706
585,VWar ,1.50R14
586,WEBInsta MM ,1.3e
587,Mambo Component Remository ,3.25
588,MVCnPHP ,3
589,Wheatblog ,1.1
590,WEBInsta CMS ,0.3.1
591,Joomla! Component Webring ,1
592,XMB ,1.9.6Final
593,PHPay ,2.02
594,Mambo Component MMP ,1.2
595,ProjectButler ,0.8.4
596,Mambo Component Peoplebook ,1
597,WEBInsta MM ,1.3e
598,Discloser ,0.0.4
599,WEBInsta CMS ,0.3.1
600,PHProjekt ,5.1
601,dotProject ,2.0.4
602,OPT Max ,1.2.0
603,OPT Max ,1.2.0
604,CubeCart ,3.0.11
605,IRSR ,0.2
606,WTcom ,0.2.4
607,POWERGAP ,2003
608,Mambo Component mambelfish ,1.1
609,Joomla! Component com_jim ,1.0.1
610,Joomla! Component Mosets Tree ,1
611,Mambo Component 'com_phpshop' ,1.2RC2b
612,Mambo Component 'com_a,6mambocredits'1.0.0
613,Joomla! Component Artlinks ,1.0b4
614,PHlyMail Lite ,3.4.4
615,phpCodeGenie ,3.0.2
616,Mambo Component MamboWiki ,0.9.6
617,Joomla! Component Link Directory ,1.0.3
618,Joomla! Component Kochsuite ,0.9.4
619,Sonium Enterprise Adressbook ,0.2
620,Mambo Component cropimage ,1
621,Interact ,2.2
622,Joomla! Component Poll ,1.0.10
623,Tutti Nova ,1.6
624,Fantastic News ,2.1.3
625,Mambo Component com_lurm_constructor ,0.6b
626,ZZ:FlashChat ,3.1
627,ZZ:FlashChat ,3.1
628,NES Game and NES System c,108122
629,SportsPHool ,1
630,Shadows Rising RPG ,0.0.5b
631,Simple Machines Forum (SMF) ,1.1rc2(Windows)
632,SimpleBlog ,2
633,PHProjekt ,6.1
634,PHlyMail Lite ,3.4.4
635,Empire CMS ,3.7
636,HPE ,1
637,Simple Machines Forum (SMF) ,1.1rc2
638,MercuryBoard ,1.1.4
639,phpBB All Topics Mod ,1.5.0
640,pSlash ,0.7
641,Integramod Portal ,2.x
642,VistaBB ,2.x
643,Wikepage Opus ,10<2006.2a(lng)
644,Phaos ,0.9.2
645,PHPCOIN ,1.2.3
646,eFiction < ,2.0.7
647,Integramod Portal ,2.0rc2
648,CliServ Web Community ,0.65
649,ProManager ,0.73
650,ProManager ,0.73
651,iziContents RC,6
652,CMS Frogss ,0.4
653,Ay System CMS ,2.6
654,e,107<0.75
655,Web,3news0.95
656,phpGroupWare ,0.9.16.010
657,PortailPHP mod_phpalbum ,2.1.5
658,MiniBill ,1.22b
659,ExBB Italiano ,0.2
660,PHPECard ,2.1.4
661,phpAtm ,1.21
662,Lanifex DMO ,2.3b
663,Pheap CMS ,1.1
664,YACS CMS ,6.6.1
665,YACS CMS ,6.6.1
666,TikiWiki ,1.9Sirius
667,Annuaire ,1Two2.2
668,Dyncms Release ,6
669,PmWiki ,2.1.19
670,PmWiki ,2.1.19
671,FlashChat ,4.5.7
672,FlashChat ,4.5.7
673,TR Forum ,2
674,pHNews alpha ,1
675,PHP Proxima ,6
676,SoftBB ,0.1
677,MySpeach ,3.0.2
678,GrapAgenda ,0.1
679,AnnonceV News Script ,1.1
680,ACGV News ,0.9.1
681,ACGV News ,0.9.1
682,Sponge News ,2.2
683,PhpCommander ,3
684,phpBB Shadow Premod ,2.7.1
685,BinGo News ,3.01
686,phpFullAnnu ,5.1
687,Beautifier ,0.1
688,Akarru ,0.4.3.34
689,PayProCart ,1146078425
690,SL_Site ,1
691,Web Server Creator ,0.1
692,Fire Soft Board RC ,3
693,DokuWiki ,2006
694,DokuWiki ,2006
695,PhpNews ,1
696,ACGV News ,0.9.1
697,News Evolution ,3.0.3
698,News Evolution ,3.0.3
699,PhotoKorn Gallery ,1.52
700,Somery ,0.4.6
701,CCleague Pro ,1.0.1RC1
702,MyABraCaDaWeb ,1.0.3
703,Socketwiz BookMarks ,2
704,Vivvo Article Manager ,3.2
705,Vivvo Article Manager ,3.2
706,PUMA ,1.0RC2
707,Open Bulletin Board ,1.0.8
708,mcGalleryPRO ,2006
709,MiniPort@l ,0.1.5Beta
710,MiniPort@l ,0.1.5Beta
711,WTools ,0.0.1a
712,PhpLinkExchange ,1
713,phpBB ,2.0.21
714,phpBB XS ,0.58
715,p,4CMS1.05
716,Popper ,1.41
717,webSPELL ,4.01.01
718,webSPELL ,4.01.01
719,Telekorn Signkorn Guestbook ,1.3
720,Quicksilver Forums ,1.2.1
721,Quicksilver Forums ,1.2.1
722,Downstat ,1.8
723,Shadowed Portal ,5.599
724,Magic News Pro ,1.0.3
725,KnowledgeBuilder ,2.2
726,Newsscript ,0.5
727,phpQuiz ,0.1
728,Mambo Component com_serverstat ,0.4.4
729,TeamCal Pro ,2.8.001
730,PhotoPost ,4.6
731,Limbo CMS ,1.0.4.2L
732,BolinOS ,4.5.5
733,PHP DocWriter ,0.3
734,Site@School ,2.4.02
735,Coppermine Photo Gallery ,1.2.2b(NukeAddon)
736,phpQuiz ,0.1.2
737,aeDating ,4.1
738,GNUTURK ,2G
739,Mambo Component com_registration_detailed ,4.1
740,Mambo Component com_registration_detailed ,4.1
741,guanxiCRM Business Solution ,0.9.1
742,Zix Forum ,1.12
743,MobilePublisherPHP ,1.5RC2
744,CMtextS ,1
745,CMtextS ,1
746,PNPHPBB,2<1.2g
747,Exponent CMS ,0.96.3
748,Exponent CMS ,0.96.3
749,Exponent CMS ,0.96.3
750,more.groupware ,0.74
751,Simple Discussion Board ,0.1.0
752,MyReview ,1.9.4
753,Digital WebShop ,1.128
754,BCWB ,0.99
755,PHP Blue Dragon CMS ,2.9.1
756,AllMyGuests ,0.4.1
757,exV,2<2.0.4.3
758,pNews ,1.1.0
759,PHPartenaire ,1
760,phpQuestionnaire ,3.12
761,ProgSys ,0.156
762,SolidState ,0.4
763,SolidState ,0.4
764,exV,2<2.0.4.3
765,Eskolar CMS ,0.9.0.0
766,Eskolar CMS ,0.9.0.0
767,Eskolar CMS ,0.9.0.0
768,ZoomStats ,1.0.2
769,ZoomStats ,1.0.2
770,SyntaxCMS ,1.3
771,Polaring ,0.04.03
772,PBLang ,4.66z
773,Minerva ,2.0.21build238a
774,evoBB ,0.3
775,BrudaNews ,1.1
776,BrudaGB ,1.1
777,faceStones personal ,2.0.42
778,Web//News ,1.4
779,Web//News ,1.4
780,paBugs ,2.0Beta3
781,Kietu? < ,4.0.0b2
782,Newswriter SW ,1.42
783,Blog Pixel Motion ,2.1.1
784,Blog Pixel Motion ,2.1.1
785,Newswriter SW ,1.4.2
786,PPA Gallery ,1
787,KGB ,1.87
788,Les Visiteurs (Visitors) ,2
789,TagIt! Tagboard ,2.1.bb2
790,phpMyWebmin ,1
791,PHPSecurePages ,0.28b
792,phpBB XS ,0.58a
793,PowerPortal ,1.3a
794,VideoDB ,2.2.1
795,PHP Krazy Image Hosting ,0.7a
796,UBBCentral UBB.Threads ,6.5.1.1
797,Forum,82<2.5.2b
798,VAMP Webmail ,2.0beta1
799,phpMyWebmin ,1
800,BasiliX ,1.1.1
801,BBaCE ,3.5
802,JAF CMS ,4.0RC1
803,phpMyProfiler ,0.9.6
804,Travelsized CMS ,0.4
805,Klinza Professional CMS ,5.0.1
806,Invision Gallery ,2.0.7
807,JAF CMS ,4.0RC1
808,phpBB Admin Topic Action Logging Mod ,0.94b
809,PHPGreetz ,0.99
810,phpBB Static Topics ,1
811,phpMyTeam ,2
812,PHP Classifieds ,7.1
813,phpBB Security Suite Mod ,1.0.0
814,Dimension of phpBB ,0.2.6
815,phpBB User Viewed Posts Tracker ,1
816,FreeForum ,0.9.7
817,Cahier de texte ,2
818,phpBB Random User Registration Number ,1.0Mod
819,4Images ,1.7.x
820,PHPMyNews ,1.4
821,Ciamos CMS ,0.9.6b
822,Freenews ,1.1
823,PHPPC ,1.03RC1
824,docmint ,2
825,OpenDock Easy Doc ,1.4
826,OpenDock Easy Blog ,1.4
827,WebYep ,1.1.9
828,OpenDock Easy Gallery ,1.4
829,Flatnuke ,2.5.8
830,Flatnuke ,2.5.8
831,phpMyAgenda ,3.1
832,TribunaLibre ,3.12Beta
833,TribunaLibre ,3.12Beta
834,compteur ,2
835,compteur ,2
836,JASmine ,0.0.2
837,Foafgen ,0.3
838,Album Photo Sans Nom ,1.6
839,vTiger CRM ,4.2
840,Exhibit Engine ,1.5RC4
841,Claroline ,1.8.0rc1
842,PHPLibrary ,1.5.3
843,Jinzora ,2.1
844,ae,2
845,n@board ,3.1.9e
846,CommunityPortals ,1
847,PHP News Reader ,2.6.4
848,PHP News Reader ,2.6.4
849,Minichat ,6
850,Softerra PHP Developer Library ,1.5.3
851,Softerra PHP Developer Library ,1.5.3
852,phpBB Journals System Mod ,1.0.2RC2
853,phpBB Insert User Mod ,0.1.2
854,phpBB Insert User Mod ,0.1.2
855,Invision Gallery ,2.0.7(Linux)
856,MiniBB keyword_replacer ,1
