id,file,description,date,author,type,platform,port
30401,exploits/php/dos/30401.php,T1lib - 'intT1_Env_GetCompletePath' Buffer Overflow (PoC),2007-07-26,r0ut3r,dos,php,
30753,exploits/php/dos/30753.txt,AutoIndex PHP Script 2.2.2/2.2.3 - 'index.php' Denial of Service,2007-11-12,L4teral,dos,php,
30760,exploits/php/dos/30760.txt,PHP 5.2.5 - Multiple GetText functions Denial of Service Vulnerabilities,2007-11-13,laurent gaffie,dos,php,
32715,exploits/php/dos/32715.php,PHP 5.2.8 - 'popen()' Function Buffer Overflow,2009-01-12,e.wiZz!,dos,php,
32769,exploits/php/dos/32769.php,PHP 5.2.5 - 'mbstring.func_overload' WebServer Denial of Service,2009-01-30,strategma,dos,php,
33625,exploits/php/dos/33625.php,PHP 5.3.1 - 'session_save_path() Safe_mode()' Restriction Bypass Exploiot,2010-02-11,Grzegorz Stachowiak,dos,php,
33677,exploits/php/dos/33677.txt,PHP 5.3.1 - LCG Entropy Security,2010-02-26,Rasmus,dos,php,
33755,exploits/php/dos/33755.php,PHP 5.3.2 'xmlrpc' Extension - Multiple Remote Denial of Service Vulnerabilities,2010-03-12,Auke van Slooten,dos,php,
34505,exploits/php/dos/34505.txt,MySQL 5.1.48 - 'Temporary InnoDB' Tables Denial of Service,2010-08-19,Boris Reisig,dos,php,
35164,exploits/php/dos/35164.php,PHP 5.3.2 - 'zend_strtod()' Floating-Point Value Denial of Service,2011-01-03,Rick Regan,dos,php,
35354,exploits/php/dos/35354.txt,PHP 5.3.5 - 'grapheme_extract()' Null Pointer Dereference Denial of Service,2011-02-17,Maksymilian Arciemowicz,dos,php,
35358,exploits/php/dos/35358.txt,PHP 5.5.12 - Locale::parseLocale Memory Corruption,2014-11-24,John Leitch,dos,php,
35413,exploits/php/dos/35413.php,WordPress Core 4.0 - Denial of Service,2014-12-01,SECURELI.com,dos,php,80
35414,exploits/php/dos/35414.txt,WordPress Core < 4.0.1 - Denial of Service,2014-12-01,Javer Nieto & Andres Rojas,dos,php,80
35415,exploits/php/dos/35415.txt,Drupal < 7.34 - Denial of Service,2014-12-01,Javer Nieto & Andres Rojas,dos,php,80
35483,exploits/php/dos/35483.txt,PHP 5.3.x 'Intl' Extension - 'NumberFormatter::setSymbol()' Denial of Service,2011-03-10,thoger,dos,php,
35484,exploits/php/dos/35484.php,PHP 5.3.x 'Zip' Extension - 'stream_get_contents()' Denial of Service,2011-03-10,paulgao,dos,php,
35485,exploits/php/dos/35485.php,PHP < 5.3.6 'Zip' Extension - 'zip_fread()' Denial of Service,2011-03-10,TorokAlpar,dos,php,
35486,exploits/php/dos/35486.php,PHP < 5.3.6 'OpenSSL' Extension - 'openssl_encrypt' Plaintext Data Memory Leak Denial of Service,2011-03-08,dovbysh,dos,php,
35487,exploits/php/dos/35487.php,PHP < 5.3.6 'OpenSSL' Extension - 'openssl_decrypt' Ciphertext Data Memory Leak Denial of Service,2011-03-08,dovbysh,dos,php,
35539,exploits/php/dos/35539.txt,phpMyAdmin 4.0.x/4.1.x/4.2.x - Denial of Service,2014-12-15,Javer Nieto & Andres Rojas,dos,php,
36070,exploits/php/dos/36070.txt,PHP < 5.3.7 - Multiple Null Pointer Dereference Denial of Service Vulnerabilities,2011-08-19,Maksymilian Arciemowicz,dos,php,
36158,exploits/php/dos/36158.txt,PHP DateTime - Use-After-Free,2015-02-23,Taoguang Chen,dos,php,
36682,exploits/php/dos/36682.php,PHP PDORow Object - Remote Denial of Service,2011-09-24,anonymous,dos,php,
36789,exploits/php/dos/36789.php,PHP 5.3.8 - Remote Denial of Service,2011-12-18,anonymous,dos,php,
37566,exploits/php/dos/37566.php,PHP 5.4.3 - PDO Memory Access Violation Denial of Service,2012-08-02,0x721427D8,dos,php,
37728,exploits/php/dos/37728.py,OSSEC WUI 0.8 - Denial of Service,2015-08-07,Milad Saber,dos,php,
38120,exploits/php/dos/38120.txt,PHP 5.4/5.5/5.6 - SplDoublyLinkedList 'Unserialize()' Use-After-Free,2015-09-09,Taoguang Chen,dos,php,
38121,exploits/php/dos/38121.txt,PHP GMP - 'unserialize()' Use-After-Free,2015-09-09,Taoguang Chen,dos,php,
38122,exploits/php/dos/38122.txt,PHP 5.4/5.5/5.6 - SplObjectStorage 'Unserialize()' Use-After-Free,2015-09-09,Taoguang Chen,dos,php,
38123,exploits/php/dos/38123.txt,PHP Session Deserializer - Use-After-Free,2015-09-09,Taoguang Chen,dos,php,
38125,exploits/php/dos/38125.txt,PHP 5.4/5.5/5.6 - 'Unserialize()' Use-After-Free,2015-09-09,Taoguang Chen,dos,php,
38442,exploits/php/dos/38442.txt,PHPMyLicense 3.0.0 < 3.1.4 - Denial of Service,2015-10-11,Aria Akhavan Rezayat,dos,php,
39095,exploits/php/dos/39095.pl,MyBB 1.6.12 - 'misc.php' Remote Denial of Service,2014-02-12,Amir,dos,php,
39091,exploits/php/dos/39091.pl,WHMCompleteSolution (WHMCS) 5.12 - 'cart.php' Denial of Service,2014-02-07,Amir,dos,php,
39092,exploits/php/dos/39092.pl,phpBB 3.0.8 - Remote Denial of Service,2014-02-11,Amir,dos,php,
39653,exploits/php/dos/39653.txt,PHP 5.5.33 - Invalid Memory Write,2016-04-01,vah_13,dos,php,
40155,exploits/php/dos/40155.py,PHP 5.5.37/5.6.23/7.0.8 - 'bzread()' Out-of-Bounds Write,2016-07-25,Hans Jerry Illikainen,dos,php,80
40313,exploits/php/dos/40313.php,PHP 5.0.0 - 'imap_mail()' Local Denial of Service,2016-08-30,Yakir Wizman,dos,php,
40314,exploits/php/dos/40314.php,PHP 5.0.0 - 'hw_docbyanchor()' Local Denial of Service,2016-08-30,Yakir Wizman,dos,php,
40315,exploits/php/dos/40315.php,PHP 5.0.0 - 'html_doc_file()' Local Denial of Service,2016-08-30,Yakir Wizman,dos,php,
40316,exploits/php/dos/40316.php,PHP 5.0.0 - 'snmpwalkoid()' Local Denial of Service,2016-08-31,Yakir Wizman,dos,php,
40317,exploits/php/dos/40317.php,PHP 5.0.0 - 'fbird_[p]connect()' Local Denial of Service,2016-08-31,Yakir Wizman,dos,php,
40318,exploits/php/dos/40318.php,PHP 5.0.0 - 'snmpwalk()' Local Denial of Service,2016-08-31,Yakir Wizman,dos,php,
40319,exploits/php/dos/40319.php,PHP 5.0.0 - 'snmprealwalk()' Local Denial of Service,2016-08-31,Yakir Wizman,dos,php,
40320,exploits/php/dos/40320.php,PHP 5.0.0 - 'snmpset()' Local Denial of Service,2016-08-31,Yakir Wizman,dos,php,
40321,exploits/php/dos/40321.php,PHP 7.0 - 'AppendIterator::append' Local Denial of Service,2016-08-31,Yakir Wizman,dos,php,
40329,exploits/php/dos/40329.php,PHP 7.0 - JsonSerializable::jsonSerialize json_encode Local Denial of Service,2016-08-31,Yakir Wizman,dos,php,
43852,exploits/php/dos/43852.php,PHPFreeChat 1.7 - Denial of Service,2018-01-21,A. Pakbaz,dos,php,
40996,exploits/php/dos/40996.txt,DirectAdmin 1.50.1 - Denial of Service,2017-01-08,IeDb ir,dos,php,
43968,exploits/php/dos/43968.py,WordPress Core - 'load-scripts.php' Denial of Service,2018-02-05,Barak Tawily,dos,php,
44057,exploits/php/dos/44057.md,Oracle Java JDK/JRE < 1.8.0.131 / Apache Xerces 2.11.0 - 'PDF/Docx' Server Side Denial of Service,2017-08-30,SecuriTeam,dos,php,
44336,exploits/php/dos/44336.py,XenForo 2 - CSS Loader Denial of Service,2018-03-23,LockedByte,dos,php,
44768,exploits/php/dos/44768.txt,Symfony 2.7.0 < 4.0.10 - Denial of Service,2018-05-26,Federico Stange,dos,php,
44846,exploits/php/dos/44846.txt,PHP 7.2.2 - 'php_stream_url_wrap_http_ex' Buffer Overflow,2018-06-06,Wei Lei and Liu Yang,dos,php,
44927,exploits/php/dos/44927.pl,Opencart < 3.0.2.0 - Denial of Service,2018-06-22,Todor Donev,dos,php,80
46921,exploits/php/dos/46921.sh,Opencart 3.0.3.2 - 'extension/feed/google_base' Denial of Service (PoC),2019-05-24,Todor Donev,dos,php,
47800,exploits/php/dos/47800.py,WordPress Core < 5.3.x - 'xmlrpc.php' Denial of Service,2019-12-17,roddux,dos,php,
2152,exploits/php/local/2152.php,PHP 4.4.3/5.1.4 - 'objIndex' Local Buffer Overflow,2006-08-08,Heintz,local,php,
9842,exploits/php/local/9842.txt,PHP 5.3.0 - 'pdflib' Arbitrary File Write,2009-11-06,Sina Yazdanmehr,local,php,
10296,exploits/php/local/10296.txt,PHP 5.2.10/5.3.0 - 'ini_restore()' Memory Information Disclosure,2009-12-03,Maksymilian Arciemowicz,local,php,
10557,exploits/php/local/10557.php,PHP 5.2.12/5.3.1 - 'symlink()' open_basedir Bypass,2009-12-19,Maksymilian Arciemowicz,local,php,
13768,exploits/php/local/13768.py,Castripper 2.50.70 - '.pls' File Stack Buffer Overflow (DEP Bypass),2010-06-08,mr_me,local,php,
20985,exploits/php/local/20985.php,PHP 4.x - SafeMode Arbitrary File Execution,2001-06-30,Wojciech Purczynski,local,php,
21347,exploits/php/local/21347.php,PHP 3.0.x/4.x - Move_Uploaded_File open_basedir Circumvention,2002-03-17,Tozz,local,php,
22911,exploits/php/local/22911.php,PHP 4.3.x - Undefined Safe_Mode_Include_Dir Safemode Bypass,2003-07-16,Michal Krause,local,php,
23022,exploits/php/local/23022.c,PHP 4.x - DLOpen Memory Disclosure (1),2003-08-13,Andrew Griffiths,local,php,
23023,exploits/php/local/23023.c,PHP 4.x - DLOpen Memory Disclosure (2),2003-08-13,andrewg,local,php,
24173,exploits/php/local/24173.txt,PHP 4.3.x - Microsoft Windows Shell Escape functions Command Execution,2004-06-07,Daniel Fabian,local,php,
25040,exploits/php/local/25040.php,PHP 4.x/5.0 Shared Memory Module - Offset Memory Corruption,2004-12-20,Stefano Di Paola,local,php,
26352,exploits/php/local/26352.php,PHP 5.0.5 - Safedir Restriction Bypass,2005-10-17,anonymous,local,php,
27334,exploits/php/local/27334.txt,PHP 4.x/5.0/5.1 with Sendmail Mail Function - 'additional_param' Arbitrary File Creation,2006-02-28,ced.clerget@free.fr,local,php,
27335,exploits/php/local/27335.txt,PHP 4.x/5.0/5.1 - 'mb_send_mail()' Restriction Bypass,2006-02-28,ced.clerget@free.fr,local,php,
28504,exploits/php/local/28504.php,PHP 3 < 5 - Ini_Restore() 'Safe_mode' / 'open_basedir' Restriction Bypass,2006-09-09,Maksymilian Arciemowicz,local,php,
29239,exploits/php/local/29239.txt,PHP 5.2 - Session.Save_Path() 'Safe_mode' / 'open_basedir' Restriction Bypass,2006-12-08,Maksymilian Arciemowicz,local,php,
29528,exploits/php/local/29528.txt,PHP 5.2 - FOpen 'Safe_mode' Restriction Bypass,2007-01-26,Maksymilian Arciemowicz,local,php,
29712,exploits/php/local/29712.txt,Zend Platform 2.2.1 - 'PHP.INI' File Modification,2007-03-03,Stefan Esser,local,php,
29801,exploits/php/local/29801.php,PHP 5.2.1 - 'Session.Save_Path()' TMPDIR open_basedir Restriction Bypass,2007-03-28,Stefan Esser,local,php,
29804,exploits/php/local/29804.php,PHP 5.2.1 - Multiple functions 'Reference' Information Disclosures,2007-03-29,Stefan Esser,local,php,
31937,exploits/php/local/31937.txt,PHP 5.2.6 - 'chdir()' Function http URL Argument Safe_mode Restriction Bypass,2008-06-18,Maksymilian Arciemowicz,local,php,
32343,exploits/php/local/32343.php,PHP 5.2.5 - Multiple functions 'safe_mode_exec_dir' / 'open_basedir' Restriction Bypass Vulnerabilities,2008-09-08,Ciph3r,local,php,
32693,exploits/php/local/32693.php,suPHP 0.7 - 'suPHP_ConfigPath' / 'Safe_Mode()' Restriction Bypass,2008-12-31,Mr.SaFa7,local,php,
32901,exploits/php/local/32901.php,PHP 5.2.9 cURL - 'Safe_mode' / 'open_basedir' Restriction Bypass,2009-04-10,Maksymilian Arciemowicz,local,php,
33161,exploits/php/local/33161.php,PHP 5.3 - 'mail.log' Configuration Option 'open_basedir' Restriction Bypass,2009-08-10,Maksymilian Arciemowicz,local,php,
48072,exploits/php/local/48072.php,PHP 7.0 < 7.4 (Unix) - 'debug_backtrace' disable_functions Bypass,2020-01-30,mm0r1,local,php,
40404,exploits/php/remote/40404.rb,Kaltura 11.1.0-2 - Remote Code Execution (Metasploit),2016-09-21,Mehmet Ince,remote,php,80
9939,exploits/php/remote/9939.rb,PHP < 4.5.0 - Unserialize Overflow (Metasploit),2007-03-01,sesser,remote,php,
10083,exploits/php/remote/10083.txt,PHP 5.3 - 'preg_match()' Full Path Disclosure,2009-09-27,David Vieira-Kurz,remote,php,
10097,exploits/php/remote/10097.php,PHP 5.2.11/5.3.0 - Multiple Vulnerabilities,2009-11-13,Maksymilian Arciemowicz,remote,php,
16903,exploits/php/remote/16903.rb,OpenX - 'banner-edit.php' Arbitrary File Upload / PHP Code Execution (Metasploit),2010-09-20,Metasploit,remote,php,
18565,exploits/php/remote/18565.rb,LotusCMS 3.0 - 'eval()' Remote Command Execution (Metasploit),2012-03-07,Metasploit,remote,php,
18738,exploits/php/remote/18738.rb,V-CMS - Arbitrary '.PHP' File Upload / Execution (Metasploit),2012-04-14,Metasploit,remote,php,
18834,exploits/php/remote/18834.rb,PHP 5.3.12/5.4.2 - CGI Argument Injection (Metasploit),2012-05-04,Metasploit,remote,php,
18836,exploits/php/remote/18836.py,PHP < 5.3.12 / < 5.4.2 - CGI Argument Injection,2012-05-05,rayh4c,remote,php,
18898,exploits/php/remote/18898.rb,Active Collab 'chat module' < 2.3.8 - Remote PHP Code Injection (Metasploit),2012-05-19,Metasploit,remote,php,
40434,exploits/php/remote/40434.rb,FreePBX < 13.0.188 - Remote Command Execution (Metasploit),2016-09-27,0x4148,remote,php,
19553,exploits/php/remote/19553.txt,PHP/FI 1.0/FI 2.0/FI 2.0 b10 - mylog/mlog,1997-10-19,Bryan Berg,remote,php,
19708,exploits/php/remote/19708.php,PHP 3.0.13 - 'Safe_mode' Failure,2000-01-04,Kristian Koehntopp,remote,php,
20168,exploits/php/remote/20168.pl,pBot - Remote Code Execution,2012-08-01,bwall,remote,php,
20500,exploits/php/remote/20500.rb,TestLink 1.9.3 - Arbitrary File Upload (Metasploit),2012-08-15,Metasploit,remote,php,
20286,exploits/php/remote/20286.c,PHP 3.0/4.0 - Error Logging Format String,2000-10-12,anonymous,remote,php,
20354,exploits/php/remote/20354.rb,PHP IRC Bot pbot - 'eval()' Remote Code Execution (Metasploit),2012-08-08,Metasploit,remote,php,
21138,exploits/php/remote/21138.rb,Sflog! CMS 1.0 - Arbitrary File Upload (Metasploit),2012-09-08,Metasploit,remote,php,
21155,exploits/php/remote/21155.txt,PHP-Nuke Network Tool 0.2 Addon - MetaCharacter Filtering Command Execution,2001-11-16,Cabezon Aur̩lien,remote,php,
21264,exploits/php/remote/21264.php,PHP 4.x/5.x MySQL Library - 'Safe_mode' Filesystem Circumvention (1),2002-02-03,Dave Wilson,remote,php,
21265,exploits/php/remote/21265.php,PHP 4.x/5.x MySQL Library - 'Safe_mode' Filesystem Circumvention (2),2002-02-03,anonymous,remote,php,
21266,exploits/php/remote/21266.php,PHP 4.x/5.x MySQL Library - 'Safe_mode' Filesystem Circumvention (3),2002-02-03,anonymous,remote,php,
21334,exploits/php/remote/21334.pl,Cobalt RaQ 2.0/3.0/4.0 XTR - 'MultiFileUpload.php' Authentication Bypass (1),2002-03-08,Wouter ter Maat,remote,php,
21335,exploits/php/remote/21335.sh,Cobalt RaQ 2.0/3.0/4.0 XTR - 'MultiFileUpload.php' Authentication Bypass (2),2002-03-08,Wouter ter Maat,remote,php,
21993,exploits/php/remote/21993.rb,AjaXplorer - 'checkInstall.php' Remote Command Execution (Metasploit),2012-10-16,Metasploit,remote,php,
22686,exploits/php/remote/22686.rb,Invision Power Board (IP.Board) 3.3.4 - 'Unserialize()' PHP Code Execution (Metasploit),2012-11-13,Metasploit,remote,php,
22696,exploits/php/remote/22696.txt,PHP 4.x - Transparent Session ID Cross-Site Scripting,2003-05-30,Sverre H. Huseby,remote,php,
23006,exploits/php/remote/23006.rb,Network Shutdown Module 3.21 - 'sort_values' Remote PHP Code Injection (Metasploit),2012-11-29,Metasploit,remote,php,
23651,exploits/php/remote/23651.rb,WordPress Plugin WP-Property - Arbitrary '.PHP' File Upload (Metasploit),2012-12-25,Metasploit,remote,php,
23652,exploits/php/remote/23652.rb,WordPress Plugin Asset-Manager - Arbitrary '.PHP' File Upload (Metasploit),2012-12-25,Metasploit,remote,php,
23856,exploits/php/remote/23856.rb,WordPress Plugin Advanced Custom Fields - Remote File Inclusion (Metasploit),2013-01-03,Metasploit,remote,php,
24018,exploits/php/remote/24018.rb,eXtplorer 2.1 - Arbitrary File Upload (Metasploit),2013-01-10,Metasploit,remote,php,
24149,exploits/php/remote/24149.php,PHP 4/5 - Input/Output Wrapper Remote File Inclusion Function Command Execution,2004-05-27,Slythers,remote,php,
24273,exploits/php/remote/24273.rb,PHP-Charts 1.0 - PHP Code Execution (Metasploit),2013-01-21,Metasploit,remote,php,
24280,exploits/php/remote/24280.txt,PHP 4.x/5.0 - 'Strip_Tags()' Function Bypass,2004-07-14,Stefan Esser,remote,php,
24444,exploits/php/remote/24444.rb,DataLife Engine - 'preview.php' PHP Code Injection (Metasploit),2013-02-01,Metasploit,remote,php,
24529,exploits/php/remote/24529.rb,OpenEMR - Arbitrary '.PHP' File Upload (Metasploit),2013-02-20,Metasploit,remote,php,
24547,exploits/php/remote/24547.rb,Kordil EDms 2.2.60rc3 - Arbitrary File Upload (Metasploit),2013-02-26,Metasploit,remote,php,
24548,exploits/php/remote/24548.rb,Glossword 1.8.8 < 1.8.12 - Arbitrary File Upload (Metasploit),2013-02-26,Metasploit,remote,php,
24549,exploits/php/remote/24549.rb,PolarPearCMS - Arbitrary '.PHP' File Upload (Metasploit),2013-02-26,Metasploit,remote,php,
24656,exploits/php/remote/24656.txt,PHP 4.x/5.0.1 - PHP_Variables Remote Memory Disclosure,2004-09-15,Stefano Di Paola,remote,php,
24711,exploits/php/remote/24711.php,PHP 4.x/5 - cURL 'open_basedir' Restriction Bypass,2004-10-28,FraMe,remote,php,
24902,exploits/php/remote/24902.rb,STUNSHELL (Web Shell) - PHP Remote Code Execution (Metasploit),2013-03-29,Metasploit,remote,php,
24903,exploits/php/remote/24903.rb,STUNSHELL (Web Shell) - Remote Code Execution (Metasploit),2013-03-29,Metasploit,remote,php,
24985,exploits/php/remote/24985.txt,PHP 4/5 - 'addslashes()' Null Byte Bypass,2004-12-16,Daniel Fabian,remote,php,
25136,exploits/php/remote/25136.rb,phpMyAdmin - 'preg_replace' (Authenticated) Remote Code Execution (Metasploit),2013-05-01,Metasploit,remote,php,
25137,exploits/php/remote/25137.rb,WordPress Plugin W3 Total Cache - PHP Code Execution (Metasploit),2013-05-01,Metasploit,remote,php,
25627,exploits/php/remote/25627.txt,PHP Advanced Transfer Manager 1.21 - Arbitrary File Upload,2005-05-06,tjomi4,remote,php,
33414,exploits/php/remote/33414.php,PHP 5.2.11 - 'htmlspecialCharacters()' Malformed Multibyte Character Cross-Site Scripting (1),2009-12-17,hello@iwamot.com,remote,php,
33415,exploits/php/remote/33415.php,PHP 5.2.11 - 'htmlspecialCharacters()' Malformed Multibyte Character Cross-Site Scripting (2),2009-12-17,hello@iwamot.com,remote,php,
25986,exploits/php/remote/25986.txt,Plesk < 9.5.4 - Remote Command Execution,2013-06-05,kingcope,remote,php,
26421,exploits/php/remote/26421.rb,LibrettoCMS File Manager - Arbitrary File Upload (Metasploit),2013-06-24,Metasploit,remote,php,
26443,exploits/php/remote/26443.php,PHP 4.x/5.0.x - Arbitrary File Upload GLOBAL Variable Overwrite,2005-10-31,rgod,remote,php,
26622,exploits/php/remote/26622.rb,InstantCMS 1.6 - PHP Remote Code Execution (Metasploit),2013-07-05,Metasploit,remote,php,
27293,exploits/php/remote/27293.rb,PineApp Mail-SeCure - 'test_li_connection.php' Arbitrary Command Execution (Metasploit),2013-08-02,Metasploit,remote,php,7443
27294,exploits/php/remote/27294.rb,PineApp Mail-SeCure - 'ldapsyncnow.php' Arbitrary Command Execution (Metasploit),2013-08-02,Metasploit,remote,php,7443
27508,exploits/php/remote/27508.txt,PHP 4.x/5.x - 'Html_Entity_Decode()' Information Disclosure,2006-03-29,Samuel,remote,php,
27529,exploits/php/remote/27529.rb,OpenX - Backdoor PHP Code Execution (Metasploit),2013-08-12,Metasploit,remote,php,
