,id,device,version,description
188,1468,Clever Copy ,3, Admin Auth Details / SQL Injection
189,1469,phpBB ,2.019, Style Changer/Demo Mod SQL Injection
190,1478,CPGNuke Dragonfly ,9.061, Remote Command Execution
191,1482,SPIP ,1.82, Remote Command Execution
192,1484,FCKEditor ,2.0, 'FileManager connector.php' Arbitrary File Upload
193,1485,RunCMS ,1.2, 'class.forumposts.php' Remote File Inclusion
194,1491,DocMGR ,0.542, 'file_exists' Remote Command Execution
195,1492,Invision Power Board Army System Mod ,2.1, SQL Injection
196,1493,EnterpriseGS ,1.0, Remote Command Execution
197,1494,FlySpray ,0.97, 'install
198,1498,webSPELL ,4.01, 'title_op' SQL Injection
199,1499,MyBulletinBoard (MyBB) ,1.03, Multiple SQL Injections
200,1501,PHPKIT ,1.61, 'filecheck' Remote Command Execution
201,1503,YapBB ,1.2, 'cfgIncludeDirectory' Remote Command Execution
202,1509,Zorum Forum ,3.5, 'rollid' SQL Injection
203,1510,Gravity Board X ,1.1, 'csscontent' Remote Code Execution
204,1511,Coppermine Photo Gallery ,1.43, Remote Command Execution
205,1512,Admbook ,1.22, 'x
206,1513,BXCP ,0.299, 'tid' SQL Injection
207,1515,GeekLog ,1, 'error.log' Remote Command Execution
208,1516,ilchClan ,1.05, 'tid' SQL Injection
209,1517,PunBB ,2.01, Register Multiple Users Denial of Service
210,1521,Noahs Classifieds ,1.3, 'lowerTemplate' Remote Code Execution
211,1522,NOCC Webmail ,1, Local File Inclusion / Remote Code Execution
212,1523,NOCC Webmail ,1,Nuke 7.5 < 7.8 
213,1524,VHCS ,2.471, Add User Authentication Bypass
214,1525,phpWebSite ,0.1,full 
215,1526,Lansuite ,2.1, 'fid' SQL Injection
216,1527,iGENUS WebMail ,2.02, 'config_inc.php' Remote Code Execution
217,1530,saPHP Lesson ,2, 'forumid' SQL Injection
218,1532,PwsPHP ,1.23, 'index.php' SQL Injection
219,1533,4Images ,1.71, Local File Inclusion / Remote Code Execution
220,1538,Farsinews ,2.5, Directory Traversal Arbitrary 'users.db' Access
221,1539,MyBulletinBoard (MyBB) ,1.03, 'misc.php' SQL Injection
222,1541,Limbo CMS ,1.042, 'itemID' Remote Code Execution
223,1542,phpRPC Library ,0.7, XML Data Decoding Remote Code Execution (1)
224,1543,vuBB ,0.2, 'cookie' SQL Injection
225,1544,Woltlab Burning Board ,2, Datenbank MOD 'fileid' SQL Injection
226,1546,phpRPC Library ,0.7, XML Data Decoding Remote Code Execution (2)
227,1547,Aztek Forum ,4, Cross
228,1548,MyBulletinBoard (MyBB) ,1.04, 'misc.php' SQL Injection (2)
229,1549,MyBulletinBoard (MyBB) ,1.04,Stats 0.1.9.1 
230,1553,Fantastic News ,2.12, 'script_path' Remote Code Execution
231,1556,D,2,Shoutbox 4.2 IPB Mod 
232,1561,OWL Intranet Engine ,0.82, 'xrms_file_root' Code Execution
233,1563,Limbo CMS ,1.042, 'itemID' Remote Code Execution (Metasploit)
234,1566,Gallery ,2.03, 'stepOrder[]' Remote Command Execution
235,1567,RedBLoG ,0.5, 'cat_id' SQL Injection
236,1570,Light Weight Calendar ,1, 'date' Remote Code Execution
237,1573,Guppy ,4.511, Delete Databases Remote Denial of Service
238,1575,Guestbook Script ,1.7, 'include_files' Remote Code Execution
239,1576,Jupiter CMS ,1.15, Multiple Cross
240,1581,Simple PHP Blog ,0.471, Remote Command Execution
241,1585,PHP iCalendar ,2.21, 'cookie' Remote Code Execution
242,1586,PHP iCalendar ,2.21, 'publish.ical.php' Remote Code Execution
243,1587,KnowledgebasePublisher ,1.2, 'Include' Remote Code Execution
244,1588,nodez ,4.611, Multiple Vulnerabilities
245,1590,ShoutLIVE ,1.1, 'savesettings.php' Remote Code Execution
246,1594,SoftBB ,0.1, 'mail' Blind SQL Injection
247,1595,gCards ,1.45, Multiple Vulnerabilities
248,1600,FreeWPS ,2.11, 'images.php' Remote Code Execution
249,1605,XHP CMS ,0.5, 'upload' Remote Command Execution
250,1608,WebAlbum ,2.02, COOKIE[skin2] Remote Code Execution
251,1609,PHP Ticket ,0.71, 'search.php' SQL Injection
252,1610,phpBookingCalendar ,1.0, 'details_view.php' SQL Injection
253,1611,TFT Gallery ,0.1, Password Disclosure
254,1612,CuteNews ,1.41, 'function.php' Local File Inclusion
255,1616,Aztek Forum ,4, 'myadmin.php' User Privilege Escalation
256,1617,PHPCollab ,2, 'sendpassword.php' SQL Injection
257,1618,GreyMatter WebLog ,1.21, Remote Command Execution (1)
258,1619,GreyMatter WebLog ,1.21, Remote Command Execution (2)
259,1621,Plogger Beta ,2.1, Administrative Credentials Disclosure
260,1627,Claroline ,1.74, 'scormExport.inc.php' Remote Code Execution
261,1629,SQuery ,4.5, 'libpath' Remote File Inclusion
262,1630,SQuery ,4.5,Clan 3.0.1 
263,1631,ReloadCMS ,1.25, Cross
264,1632,VWar ,1.5, Remote File Inclusion
265,1640,AngelineCMS ,0.81, 'installpath' Remote File Inclusion
266,1644,INDEXU ,5.01, 'base_path' Remote File Inclusion
267,1645,Crafty Syntax Image Gallery ,3.1, Remote Code Execution
268,1646,phpMyChat ,0.145, SYS enter Remote Code Execution
269,1647,phpMyChat ,0.15, SYS enter Remote Code Execution
270,1650,Horde Help Viewer ,3.1, Remote Command Execution
271,1651,ADODB < ,4.7, 'tmssql.php' Denial of Service
272,1652,ADODB < ,4.7, 'Server.php' SQL Injection
273,1653,dnGuestbook ,2, SQL Injection
274,1654,autonomous lan party ,0.981, Remote File Inclusion
275,1655,XBrite Members ,1.1, 'id' SQL Injection
276,1656,Sire ,2, '/lire.php' Remote File Inclusion / Arbitrary File Upload
277,1659,phpList ,2.102, 'GLOBALS[]' Remote Code Execution
278,1660,Horde ,3.09, Help Viewer Remote Code Execution (Metasploit)
279,1661,phpBB ,2.019, 'user_sig_bbcode_uid' Remote Code Execution
280,1662,Clansys ,1.1, SQL Injection
281,1663,Simplog ,0.92, 's' Remote Command Execution
282,1665,Sphider ,1.3, 'configset.php' Remote File Inclusion
283,1666,PHP,121, Remote Code Execution
284,1668,vBulletin ImpEx ,1.74, Remote Command Execution
285,1672,PAJAX ,0.51, Remote Code Execution
286,1673,phpWebSite ,0.102, 'hub_dir' Remote Command Execution
287,1674,osCommerce ,2.2, 'extras' Source Code Disclosure
288,1678,PHP Album ,0.323, Remote Command Execution
289,1682,Fuju News ,1, Authentication Bypass / SQL Injection
290,1683,Blackorpheus ClanMemberSkript ,1, SQL Injection
291,1686,FlexBB ,0.55, '/inc/start.php?_COOKIE' SQL Bypass
292,1687,MyEvent ,1.3, 'event.php' Remote File Inclusion
293,1694,Internet PhotoShow ,1.3, 'page' Remote File Inclusion
294,1695,PHP Net Tools ,2.71, Remote Code Execution
295,1697,PCPIN Chat ,5.04, 'login/language' Remote Code Execution
296,1698,Joomla! ,1.07, 'feed' Full Path Disclosure / Denial of Service
297,1699,RechnungsZentrale V,2, Remote File Inclusion
298,1701,PHPSurveyor ,0.995, 'surveyid' Remote Command Execution
299,1704,CoreNews ,2.01, 'userid' SQL Injection
300,1705,Simplog ,0.93, 'tid' SQL Injection
301,1706,dForum ,1.5, 'DFORUM_PATH' Multiple Remote File Inclusions
302,1707,My Gaming Ladder Combo System ,7, Remote Code Execution
303,1710,Clansys ,1.1, 'index.php' PHP Code Insertion
304,1711,Built,2, Remote File Inclusion
305,1713,FlexBB ,0.55, '/function/showprofile.php' SQL Injection
306,1720,Invision Power Board ,2.15, 'lastdate' Remote Code Execution
307,1722,TopList ,1.38, 'phpBB Hack' Remote File Inclusion (1)
308,1723,Advanced Guestbook ,2.4, 'phpBB' File Inclusion
309,1724,TopList ,1.38, 'phpBB Hack' Remote File Inclusion (2)
310,1725,Advanced Guestbook ,2.4, 'phpBB' Remote File Inclusion
311,1726,Invision Power Board ,2.15, 'search.php' Remote Code Execution
312,1727,openPHPNuke ,2.33, Remote File Inclusion
313,1728,Knowledge Base Mod ,2.02, 'phpBB' Remote File Inclusion
314,1729,Limbo CMS ,1.042, 'sql.php' Remote File Inclusion
315,1730,Aardvark Topsites PHP ,4.22, 'path' Remote File Inclusion
316,1731,phpMyAgenda ,3.0, 'rootagenda' Remote File Inclusion
317,1732,Aardvark Topsites PHP ,4.22, 'lostpw.php' Remote File Inclusion
318,1733,Invision Power Board ,2.15, 'from_contact' SQL Injection
319,1738,X,7, 'help_file' Remote Command Execution
320,1740,Fast Click ,1.13, 'show.php' Remote File Inclusion
321,1744,Albinator ,2.06, 'Config_rootdir' Remote File Inclusion
322,1747,Auction ,1.3, 'phpbb_root_path' Remote File Inclusion
323,1751,Limbo CMS ,1.042, 'catid' SQL Injection
324,1752,StatIt ,4, 'statitpath' Remote File Inclusion
325,1753,TotalCalendar ,2.3, 'inc' Remote File Inclusion
326,1756,HiveMail ,1.3, 'addressbook.add.php' Remote Code Execution
327,1760,HiveMail ,1.3,Fusion 6.00.306 
328,1761,Jetbox CMS ,2.1, 'relative_script_path' Remote File Inclusion
329,1763,ACal ,2.26, 'day.php' Remote File Inclusion
330,1764,EQdkp ,1.3, 'dbal.php' Remote File Inclusion
331,1765,Dokeos Lms ,1.64, 'authldap.php' Remote File Inclusion
332,1766,Dokeos Lms ,1.64,Learning 1.75 
333,1767,ActualAnalyzer Server ,8.23, 'rf' Remote File Inclusion
334,1768,ActualAnalyzer Pro ,6.88, 'rf' Remote File Inclusion
335,1769,phpListPro ,2.01, Multiple Remote File Inclusions
336,1773,phpRaid ,3.0, 'phpBB'/'SMF' Remote File Inclusion
337,1774,pafileDB ,2.01, 'mxBB'/'phpBB' Remote File Inclusion
338,1777,Unclassified NewsBoard ,1.61, Local File Inclusion
339,1778,Foing ,0.7, 'phpBB' Remote File Inclusion
340,1779,PHP Blue Dragon CMS ,2.9, Remote File Inclusion
341,1780,phpBB ,2.02, Admin/Restore DB/default_lang Remote Command Execution
342,1785,Sugar Suite Open Source ,4.2, 'OptimisticLock' Command Execution
343,1789,TR Newsportal ,0.36, 'poll.php' Remote File Inclusion
344,1790,Squirrelcart ,2.2, 'cart_content.php' Remote File Inclusion
345,1793,DeluxeBB ,1.06, 'name' SQL Injection (mq=off)
346,1795,ezusermanager ,1.6, Remote File Inclusion
347,1796,ezusermanager ,1.6,Fusion 6.00.306 
348,1797,DeluxeBB ,1.06, 'Attachment mod_mime' Remote Command Execution
349,1798,Quezza BB ,1, 'quezza_root_path' File Inclusion
350,1800,ScozNews ,1.21, 'mainpath' Remote File Inclusion
351,1804,phpBazar ,2.1, Remote File Inclusion / Authentication Bypass
352,1805,phpListPro ,2.01, 'Language' Remote Code Execution
353,1808,phpMyDirectory ,10.44, 'ROOT_PATH' Remote File Inclusion
354,1809,CaLogic Calendars ,1.22, 'CLPath' Remote File Inclusion
355,1810,Woltlab Burning Board ,2.35, 'links.php' SQL Injection
356,1811,XOOPS ,2.0132, 'xoopsOption[nocommon]' Remote Command Execution
357,1812,Fusion News ,1.0, Remote File Inclusion
358,1814,UBBCentral UBB.Threads ,6.4, 'thispath' Remote File Inclusion
359,1816,Nucleus CMS ,3.22, 'DIR_LIBS' Remote File Inclusion
360,1817,Docebo ,3.03, Multiple Remote File Inclusions
361,1818,phpCommunityCalendar ,4.03, Cross
362,1821,Drupal ,4.7, 'Attachment mod_mime' Remote Command Execution
363,1823,BASE ,1.24, melissa Snort Frontend Remote File Inclusion
364,1824,BASE ,1.24,medium.CMS 0.25 
365,1825,BASE ,1.24,End CMS 0.7.2.2 
366,1826,Socketmail ,2.26, 'site_path' Remote File Inclusion
367,1827,Socketmail ,2.26,Webmail 1.6.4 
368,1828,DoceboLms ,2.05, 'help.php' Remote File Inclusion
369,1829,APC ActionApps CMS ,2.81, Remote File Inclusion
370,1832,Plume CMS ,1.03, 'manager_path' Remote File Inclusion
371,1835,Hot Open Tickets ,11012004, 'CLASS_PATH' Remote File Inclusion
372,1839,tinyBB ,0.3, Remote File Inclusion / SQL Injection
373,1841,F@cile Interactive Web ,0.8, Remote File Inclusion / Cross
374,1842,EggBlog < ,3.07, Remote SQL Injection / Privilege Escalation
375,1843,UBBCentral UBB.Threads ,5, Multiple Remote File Inclusions
376,1844,Activity MOD Plus ,1.1, 'phpBB Mod' File Inclusion
377,1846,Blend Portal ,1.2, 'phpBB Mod' Remote File Inclusion
378,1847,Blend Portal ,1.2, 'search.php' SQL Injection
379,1848,Fastpublish CMS ,1.69, config[fsBase] Remote File Inclusion
380,1851,gnopaste ,0.53, 'common.php' Remote File Inclusion
381,1853,pppBlog ,0.38, System Disclosure
382,1854,Ottoman CMS ,1.13, '?default_path=' Remote File Inclusion (1)
383,1855,metajour ,2.1, 'system_path' Remote File Inclusion
384,1857,TinyPHP Forum ,3.6, 'profile.php' Remote Code Execution
385,1858,AssoCIateD CMS ,1.13, 'ROOT_PATH' Remote File Inclusion
386,1860,Bytehoard ,2.1, 'server.php' Remote File Inclusion
387,1861,Redaxo ,3.2, 'INCLUDE_PATH' Remote File Inclusion
388,1863,Igloo ,0.19, 'Wiki.php' Remote File Inclusion
389,1864,ashNews ,0.83, 'pathtoashnews' Remote File Inclusion
390,1865,Informium ,0.12, 'common
391,1866,Informium ,0.12,Nuke 7.9 Final 
392,1868,PixelPost ,1,5rc1
393,1869,DotClear ,1.24, 'prepend.php' Remote File Inclusion
394,1870,BlueShoes Framework ,4.6, Remote File Inclusion
395,1871,WebspotBlogging ,3.01, 'path' Remote File Inclusion
396,1872,WebspotBlogging ,3.01,Cart 1.3.3 
397,1874,LifeType ,1.04, SQL Injection
398,1875,FunkBoard CF,0.71, 'profile.php' Remote User Pass Change
399,1876,SCart ,2, 'page' Remote Code Execution
400,1877,Claroline ,1.76, 'includePath' Remote Code Execution
401,1878,Particle Wiki ,1.02, SQL Injection
402,1879,dotWidget CMS ,1.06, 'file_path' Remote File Inclusion
403,1881,DreamAccount ,3.1, 'da_path' Remote File Inclusion
404,1882,Dmx Forum ,2.1, 'edit.php' Remote Password Disclosure
405,1883,Wikiwig ,4.1, 'wk_lang.php' Remote File Inclusion
406,1886,OpenEMR ,2.81, 'fileroot' Remote File Inclusion
407,1887,Xtreme/Ditto News ,1, 'post.php' Remote File Inclusion
408,1888,Xtreme/Ditto News ,1,End CMS 0.7.2.1 
409,1890,Xtreme/Ditto News ,1,Bandits 2.5 
410,1891,Enterprise Payroll Systems ,1.1, 'footer' Remote File Inclusion
411,1892,Guestex Guestbook ,1, 'email' Remote Code Execution
412,1895,empris r,20020923, 'phormationdir' Remote File Inclusion
413,1896,aePartner ,0.83, 'dir[data]' Remote File Inclusion
414,1897,phpOnDirectory ,1, Remote File Inclusion
415,1898,WebprojectDB ,0.13, 'INCDIR' Remote File Inclusion
416,1899,free QBoard ,1.1, 'qb_path' Remote File Inclusion
417,1901,RCblog ,1.03, 'POST' Remote Command Execution
418,1902,AWF CMS ,1.11, 'spaw_root' Remote File Inclusion
419,1903,AWF CMS ,1.11,Builder (CMS) 0.7.5 
420,1904,blur,6, 'ID' Admin Disclosure / Blind SQL Injection
421,1905,blur,6,Portal 6.1.x 
422,1907,aWebNews ,1.5, 'visview.php' Remote File Inclusion
423,1908,Minerva ,2.08, 'phpbb_root_path' File Inclusion
424,1909,MyBulletinBoard (MyBB) < ,1.13, Remote Code Execution
425,1912,The Bible Portal Project ,2.12, 'destination' File Inclusion
426,1913,PHP Blue Dragon CMS ,2.91, 'template.php' File Inclusion
427,1914,PHP Blue Dragon CMS ,2.91,Builder (CMS) 0.7.2 
428,1916,DeluxeBB ,1.06, 'templatefolder' Remote File Inclusion
429,1918,Bitweaver ,1.3, 'tmpImagePath' Attachment mod_mime
430,1919,CMS Faethon ,1.32, 'mainpath' Remote File Inclusion
431,1920,Mambo ,4.6, Weblinks Blind SQL Injection (1)
432,1921,FlashBB ,1.18, 'phpbb_root_path' Remote File Inclusion
433,1922,Joomla! ,1.09, 'Weblinks' Blind SQL Injection
434,1923,Ad Manager Pro ,2.6, 'ipath' Remote File Inclusion
435,1925,Indexu ,5.01, 'admin_template_path' Remote File Inclusion
436,1926,PHP Live Helper ,1, 'abs_path' Remote File Inclusion
437,1928,IdeaBox ,1.1, 'gorumDir' Remote File Inclusion
438,1929,Micro CMS ,0.35, 'microcms_path' Remote File Inclusion
439,1932,Ultimate PHP Board ,1.96, Multiple Vulnerabilities
440,1933,BandSite CMS ,1.11, 'ROOT_PATH' Remote File Inclusion
441,1934,dotProject ,2.03, 'baseDir' Remote File Inclusion
442,1936,SmartSite CMS ,1, 'root' Remote File Inclusion
443,1938,DataLife Engine ,4.1, SQL Injection (Perl)
444,1939,DataLife Engine ,4.1, SQL Injection (PHP)
445,1941,Mambo ,4.6, Weblinks Blind SQL Injection (2)
446,1942,ralf image Gallery ,0.74, Multiple Vulnerabilities
447,1943,Harpia CMS ,1.05, Remote File Inclusion
